2θ (°),Miller Indices,,,Intensity,d-spacing
,h,k,l,,(nm)
26.886,1,1,1,10,0.3312
31.145,2,0,0,99,0.2869
44.629,2,2,0,61,0.2028
52.878,3,1,1,3,0.173
55.426,2,2,2,19,0.1656
64.959,4,0,0,8,0.1434
71.633,3,3,1,2,0.1316
73.797,4,2,0,19,0.1283
82.251,4,2,2,13,0.1171
88.472,5,1,1,2,0.1104
98.837,4,4,0,4,0.1014
105.176,5,3,1,2,0.097
107.328,6,0,0,8,0.0956
107.328,4,4,2,8,0.0956
116.236,6,2,0,6,0.0907
125.896,6,2,2,5,0.0865
136.933,4,4,4,2,0.0828
147.009,7,1,1,2,0.0803
147.009,5,5,1,2,0.0803
151.023,6,4,0,4,0.0796
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
